term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
boe,boe,EP companies Integrated companies '000 boe/d Industry Structure 41 integrated companies have implemented in response to market and firm specific risks in order to examine whether we can con- clude that the integrated model in the oil and gas business will rei,"ConocoPhillips Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Valuation of International Oil Companies (Osmundsen et al. 2006)","Oil Company Crisis: Managing Structure, Profitability and Growth:p47 | Valuation of International Oil Companies (Osmundsen et al. 2006):p14 | ConocoPhillips Form 10-K (FY2025):p3",low,,
Brent,brent,"Bush and his national security adviser, Brent Scowcroft, laid out the reasons why the coalition had not pushed on: “Trying to eliminate Saddam . . . we would have been forced to occupy Baghdad and, in effect, rule Iraq. Had we gone the invasion route, the United St","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p194 | The World for Sale:p92 | The Economics of Oil and Gas:p13 | Oil: A Beginner's Guide:p183 | Oil Company Crisis: Managing Structure, Profitability and Growth:p27 | Valuation of International Oil Companies (Osmundsen et al. 2006):p9 | Exxon Mobil Corporation Form 10-K (FY2025):p64 | ConocoPhillips Form 10-K (FY2025):p37",low,,benchmark crude
buyback,buyback,"ither in the form of dividends or share buybacks. The need to reduce costs sets the scene for mergers and consolidation.9 The shale industry has changed in another way. While the independents have scaled back, the majors have stepped up. ConocoPhillips, once a very i","Enterprise Products Partners L.P. Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p68 | Enterprise Products Partners L.P. Form 10-K (FY2025):p64",low,,
capacity utilization,capacity utilization,"at the refiner’s interest to reduce its capacity utilization rate if doing so can push up the price. However, as the refining capacity is distributed much more evenly across the world than the crude oil reserves and there are no organizations, such as OPEC, that can cartelize",Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p140 | Exxon Mobil Corporation Form 10-K (FY2025):p50,low,G139,
capex,capex,"the CIT rate is 30 per cent. The sum of capex and opex is 60 for the high-​cost case, 40 for the low-​cost case and zero for the zero-​cost case. Table 3.3 presents the take calculations. For comparison, I add a column for the high-​cost case when there is no co","Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | The Economics of Oil and Gas","The Economics of Oil and Gas:p75 | Oil Company Crisis: Managing Structure, Profitability and Growth:p73 | Exxon Mobil Corporation Form 10-K (FY2025):p37",low,G139,
capital employed,capital employed,"After Taxa- tion, or NOPAT), divided by capital employed, which is taken to be the sum of shareholders’ funds (including minority interests) and net debt. It could be conceived as being what the companies generate by way of distributable surplus, after taxation, divided b","Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valuation of International Oil Companies (Osmundsen et al. 2006)","Oil Company Crisis: Managing Structure, Profitability and Growth:p8 | Valuation of International Oil Companies (Osmundsen et al. 2006):p1 | Exxon Mobil Corporation Form 10-K (FY2025):p31 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p65 | Enterprise Products Partners L.P. Form 10-K (FY2025):p83",low,G139,
capital expenditure,capital expenditure,"n, the company’s eligible expenses and capital expenditures (capex) are repaid from the total produced oil (or gas), called the cost petroleum (or cost oil and cost gas), up to a maximum annual percentage of total production, called the cost recovery limit (or cap). As an in","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024)","The Economics of Oil and Gas:p75 | Oil Company Crisis: Managing Structure, Profitability and Growth:p24 | Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p23 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p8 | Enterprise Products Partners L.P. Form 10-K (FY2025):p30 | Valero Energy Corporation Form 10-K (FY2024):p15",low,G139,
carbon capture,carbon capture,"nstance, by “restoring forests” or with carbon capture. In other words, carbon can be released, but in some way an equal amount of carbon must be captured. Today, Europe is responsible for about 12 percent of the CO2 emissions released by burning carbon (see Figure 2). A b","ConocoPhillips Form 10-K (FY2025) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p338 | How the World Really Works:p193 | Energy: A Beginner's Guide:p110 | Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p21 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p4 | Enterprise Products Partners L.P. Form 10-K (FY2025):p51 | Valero Energy Corporation Form 10-K (FY2024):p7",low,G139,
cash operating cost,cash operating cost,"these volumes, which take the form of cash operating costs, taxation, and depletion of fixed assets. But this ignores the fact that the 70 Oil Company Crisis company may have found large amounts of oil during the year, which would have added significantly to its value, but","Oil Company Crisis: Managing Structure, Profitability and Growth","Oil Company Crisis: Managing Structure, Profitability and Growth:p76",low,G186,
catalytic cracking,catalytic cracking,Vacuum distillation 2 Thermal process 6 Catalytic cracking 6 Catalytic reforming 5 Catalytic hydrocracking 6 Catalytic hydrotreating 2 Alkylation/​polymerization 10 Aromatics/​isomerization 15 Lubes 60 Asphalt 1.5 The Economics of Oil and Gas 114 114 114 Re,Energy (Vaclav Smil) | Energy: A Beginner's Guide | Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p13 | Oil: A Beginner's Guide:p62 | Energy: A Beginner's Guide:p117 | Energy (Vaclav Smil):p91,low,G113,
CCS,ccs,"evelop “carbon capture and storage,” or CCS. Around the same time, a “U” for “use” was added to the acronym. It became “carbon capture, use, and storage”—CCUS. That meant finding commercial applications beyond putting the fizz into carbonated soft drinks. After P","Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p352 | Exxon Mobil Corporation Form 10-K (FY2025):p7 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p5 | Valero Energy Corporation Form 10-K (FY2024):p170",low,,
CDU,cdu,"an atmospheric crude distillation unit (CDU) in whose tower the products are separated by different boiling points into principal cuts that include gases, straight-run gasoline, light and heavy naphtha, kerosene and atmospheric gas oil. Petroleum gases (light end",Oil: A Beginner's Guide,Oil: A Beginner's Guide:p145,low,,
coal,coal,"of more-efficient coal-powered plants. Coal may be a declining share, but it is still a mainstay for the world’s two largest countries, China and India, important not only for energy but also for employment and energy security. As observed before, coal still repr","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale","The New Map: Energy, Climate, and the Clash of Nations:p9 | The World for Sale:p23 | How the World Really Works:p12 | The Economics of Oil and Gas:p18 | Oil: A Beginner's Guide:p12 | Energy: A Beginner's Guide:p8 | Energy (Vaclav Smil):p9 | Exxon Mobil Corporation Form 10-K (FY2025):p40",low,,
coking,coking,"ply. Given the industry’s dependence on coking coal and natural gas, steelmaking has been also a major contributor to the anthropogenic generation of greenhouse gases. The World Steel Association puts the average global rate at 500 kilograms of carbon per ton, with",Energy (Vaclav Smil) | Energy: A Beginner's Guide | How the World Really Works | Oil: A Beginner's Guide | The Economics of Oil and Gas,How the World Really Works:p96 | The Economics of Oil and Gas:p127 | Oil: A Beginner's Guide:p147 | Energy: A Beginner's Guide:p102 | Energy (Vaclav Smil):p78,low,,
Commodity price,commodity price,"the Corporation’s risk from changes in commodity prices. While commodity prices depend on supply and demand and may be volatile on a short-term basis, ExxonMobil’s investment decisions are grounded on fundamentals reflected in our long-term business outlook, and use a disci",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | SLB N.V. (SLB Limited) Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p5 | ConocoPhillips Form 10-K (FY2025):p20 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p15 | Enterprise Products Partners L.P. Form 10-K (FY2025):p20 | Valero Energy Corporation Form 10-K (FY2024):p64,high,G113,
commodity price risk,commodity price risk,"racts, including derivatives, to manage commodity price risk and to generate returns from trading. The Corporation’s commodity derivatives are not accounted for under hedge accounting. At times, the Corporation also enters into currency and interest rate derivatives, none of whic",ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Valero Energy Corporation Form 10-K (FY2024),Exxon Mobil Corporation Form 10-K (FY2025):p65 | ConocoPhillips Form 10-K (FY2025):p66 | Enterprise Products Partners L.P. Form 10-K (FY2025):p20 | Valero Energy Corporation Form 10-K (FY2024):p65,high,G113;G133,
commodity trading,commodity trading,"As one of the most senior women in the commodity trading industry, she has plenty of experience of ‘men who have this perception that only men can do the job’. But, she says, the commodity traders are already evolving, under pressure from their newest recruits. ‘Today, if you",Enterprise Products Partners L.P. Form 10-K (FY2025) | The World for Sale,The World for Sale:p15 | Enterprise Products Partners L.P. Form 10-K (FY2025):p34,low,,
completion,completion,"llion pipeline was only weeks away from completion. On December 9, Putin was in Paris to meet with German chancellor Angela Merkel, French president Emmanuel Macron, and Volodymyr Zelensky, the new president of Ukraine. Zelensky had become famous in Ukraine for his popu","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p105 | The World for Sale:p302 | The Economics of Oil and Gas:p53 | Oil: A Beginner's Guide:p93 | Energy: A Beginner's Guide:p104 | Energy (Vaclav Smil):p80 | Exxon Mobil Corporation Form 10-K (FY2025):p10 | ConocoPhillips Form 10-K (FY2025):p6",low,,
concession,concession,"g with political control within defined concession areas. All this undermined China’s sovereignty and heralded its weakness. A climax of the “humiliation” came in 1919, when the Versailles treaty awarded Germany’s Shandung concession to Japan. This ignited student demon","ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p130 | The Economics of Oil and Gas:p10 | Oil: A Beginner's Guide:p34 | Oil Company Crisis: Managing Structure, Profitability and Growth:p13 | Exxon Mobil Corporation Form 10-K (FY2025):p3 | ConocoPhillips Form 10-K (FY2025):p11",low,,
contango,contango,"he spot price. Such a market is called contango, which usually occurs when inventories are relatively high. Note that the convenience yield is a theoretical construction, but it can be estimated from data. Dahl (2014) estimates that convenience yields averaged 2 pe",Enterprise Products Partners L.P. Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p255 | Enterprise Products Partners L.P. Form 10-K (FY2025):p68,low,,
Crack spread,crack spread,"a more relevant measure is the 6:3:2:1 crack spread, which denotes the spread between the cost of buying six barrels of crude oil and the revenues from selling three barrels of gasoline, two barrels of diesel fuel and one barrel of fuel oil or kerosene. Calculating a",The Economics of Oil and Gas,The Economics of Oil and Gas:p140,low,,
crude distillation,crude distillation,"7). Refining and marketing 113 113 a crude distillation unit costs $400 per barrel per calendar day to construct and another secondary unit costs $1,200/​b/​cd to build, this unit would have a complexity factor of three.6 The complexity rating of a refinery is calculated b",Oil: A Beginner's Guide | The Economics of Oil and Gas,The Economics of Oil and Gas:p126 | Oil: A Beginner's Guide:p145,low,,
crude oil,crude oil,"No one seemed to notice. But the ban on crude oil exports remained. There matters rested until the sudden emergence of shale oil. As the volumes rose so dramatically, so did a call to lift the export ban.2 At first glance, it might have seemed strange to be exporting c","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p29 | The World for Sale:p7 | How the World Really Works:p22 | The Economics of Oil and Gas:p9 | Oil: A Beginner's Guide:p10 | Energy: A Beginner's Guide:p8 | Energy (Vaclav Smil):p9 | Oil Company Crisis: Managing Structure, Profitability and Growth:p12",low,,
DD&A,dd a,"ting standards update GBP British pound DD&A depreciation, depletion and NOK Norwegian kroner amortization EPS earnings per share Units of Measurement FASB Financial Accounting Standards BBL barrel Board BCF billion cubic feet FIFO first-in, first-out BOE barr",ConocoPhillips Form 10-K (FY2025) | The Economics of Oil and Gas,ConocoPhillips Form 10-K (FY2025):location from raw extract | The Economics of Oil and Gas:location from raw extract,medium,,"variant: depletion, depreciation and amortization; do not invent page if PDF page index uncertain"
decarbonization,decarbonization,"of the EU was around climate, aiming at decarbonization and efficiency and making a rapid march to renewable energy. At the forefront was Germany. Under the rubric of its Energiewende, or “energy turn,” Germany provided extensive subsidies for wind and solar development. Alt","Energy (Vaclav Smil) | Energy: A Beginner's Guide | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p86 | How the World Really Works:p11 | Oil: A Beginner's Guide:p7 | Energy: A Beginner's Guide:p9 | Energy (Vaclav Smil):p10 | Exxon Mobil Corporation Form 10-K (FY2025):p42 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p4 | Valero Energy Corporation Form 10-K (FY2024):p26",low,,
decline curve,decline curve,the oil industry 41 2.8 Hyperbolic decline curves 44 2.9 Exponential decline curves 45 2.10 Cost shares of US onshore oil and gas drilling and well completion 46 2.11 Growth in the three-​year moving average of the real oil price and drilling costs (in pe,The Economics of Oil and Gas,The Economics of Oil and Gas:p60,low,,
decline rate,decline rate,", the higher the decline rate (k). The decline rate is sensitive to the initial rate of pro­ duction, or to the total number of wells drilled. If more wells are drilled, 0.0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1 6 11 16 21 26 31 36 41 46 MMBPD Year k=0.025 k=0.05 k=",ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | The Economics of Oil and Gas,The Economics of Oil and Gas:p54 | Exxon Mobil Corporation Form 10-K (FY2025):p43 | ConocoPhillips Form 10-K (FY2025):p50,low,,
Deepwater,deepwater,"amous example in recent history is the Deepwater Horizon blowout on 20 April 2010, in the Macondo Prospect, off the coast of Louisiana, operated by British Petroleum (BP). 3. A “Christmas tree” is a set of valves, pipes and fittings that sits above the basic wellhea","Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | The Economics of Oil and Gas","The Economics of Oil and Gas:p68 | Oil: A Beginner's Guide:p52 | Oil Company Crisis: Managing Structure, Profitability and Growth:p29 | Exxon Mobil Corporation Form 10-K (FY2025):p20 | Enterprise Products Partners L.P. Form 10-K (FY2025):p19",low,,
demand destruction,demand destruction,"nt to realize the effect of so-​called “demand destruction” –​ con­ sumers switching to more efficient vehicles and appliances or to other fuels, 0 0.5 1 1.5 2 2.5 3 3.5 Jan-11 Apr-11 Jul-11 Oct-11 Jan-12 Apr-12 Jul-12 Oct-12 Jan-13 Apr-13 Jul-13 Oct-13 Jan-14 Apr-14 Jul-14 Oc",The Economics of Oil and Gas | Valero Energy Corporation Form 10-K (FY2024),The Economics of Oil and Gas:p223 | Valero Energy Corporation Form 10-K (FY2024):p28,low,,
depletion,depletion,AAP) 78.8 91.6 Less: Depreciation and depletion (includes impairments) 19.0 26.0 Non-service pension and postretirement benefit expense 1.2 0.4 Other adjustments (includes equity company depreciation and depletion) 3.6 6.2 Total Cash Operating Expenses (Cash,ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025),Exxon Mobil Corporation Form 10-K (FY2025):p35 | ConocoPhillips Form 10-K (FY2025):p3 | Enterprise Products Partners L.P. Form 10-K (FY2025):p161,high,,
development cost,development cost,"PVs are production revenues net of all development costs, operating expenses, taxes and royalties, but do not include the costs of drilling the wildcat well and purchasing the lease. For convenience, the probability of each possible outcome and the finan­ cial payoff at eac","ConocoPhillips Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | Valuation of International Oil Companies (Osmundsen et al. 2006)","The Economics of Oil and Gas:p47 | Oil Company Crisis: Managing Structure, Profitability and Growth:p6 | Valuation of International Oil Companies (Osmundsen et al. 2006):p6 | Exxon Mobil Corporation Form 10-K (FY2025):p32 | ConocoPhillips Form 10-K (FY2025):p60 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p47",low,G5;G25,
dividend,dividend,"urns to investors either in the form of dividends or share buybacks. The need to reduce costs sets the scene for mergers and consolidation.9 The shale industry has changed in another way. While the independents have scaled back, the majors have stepped up. ConocoPhill","ConocoPhillips Form 10-K (FY2025) | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The New Map: Energy, Climate, and the Clash of Nations | The World for Sale | Valero Energy Corporation Form 10-K (FY2024) | Valuation of International Oil Companies (Osmundsen et al. 2006)","The New Map: Energy, Climate, and the Clash of Nations:p68 | The World for Sale:p261 | Oil Company Crisis: Managing Structure, Profitability and Growth:p64 | Valuation of International Oil Companies (Osmundsen et al. 2006):p7 | Exxon Mobil Corporation Form 10-K (FY2025):p26 | ConocoPhillips Form 10-K (FY2025):p20 | SLB N.V. (SLB Limited) Form 10-K (FY2025):p14 | Enterprise Products Partners L.P. Form 10-K (FY2025):p58",low,,
downstream,downstream,"ompany to “internationalize,” expanding downstream business both in Saudi Arabia and outside the country in order to secure markets in the consuming countries. And then he had done a stint as health minister to handle MERS, a respiratory virus epidemic that had become a","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | How the World Really Works | Oil Company Crisis: Managing Structure, Profitability and Growth | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations | Valero Energy Corporation Form 10-K (FY2024)","The New Map: Energy, Climate, and the Clash of Nations:p248 | How the World Really Works:p295 | The Economics of Oil and Gas:p9 | Oil: A Beginner's Guide:p32 | Energy: A Beginner's Guide:p123 | Energy (Vaclav Smil):p96 | Oil Company Crisis: Managing Structure, Profitability and Growth:p12 | ConocoPhillips Form 10-K (FY2025):p4",low,,
drilling,drilling,"—other than Mitchell and us.” But shale drilling needed another technology to be economic. This was horizontal drilling. It allowed operators to drill down vertically (today, as much as two miles) to what is called the “kick-off point,” where the drill bit turns and m","ConocoPhillips Form 10-K (FY2025) | Energy (Vaclav Smil) | Energy: A Beginner's Guide | Enterprise Products Partners L.P. Form 10-K (FY2025) | Exxon Mobil Corporation Form 10-K (FY2025) | How the World Really Works | Oil: A Beginner's Guide | SLB N.V. (SLB Limited) Form 10-K (FY2025) | The Economics of Oil and Gas | The New Map: Energy, Climate, and the Clash of Nations","The New Map: Energy, Climate, and the Clash of Nations:p17 | How the World Really Works:p15 | The Economics of Oil and Gas:p36 | Oil: A Beginner's Guide:p48 | Energy: A Beginner's Guide:p111 | Energy (Vaclav Smil):p86 | Exxon Mobil Corporation Form 10-K (FY2025):p6 | ConocoPhillips Form 10-K (FY2025):p6",low,,
E&P,e p,"in specific exploration and production (E&P) agreements and how the benefits derived from the exploitation of petroleum resources are divided. These laws, regulations and the associated fiscal systems collectively define the legal, regulatory and financial env",ConocoPhillips Form 10-K (FY2025) | The Economics of Oil and Gas | Valuation of International Oil Companies (Osmundsen et al. 2006),The Economics of Oil and Gas:p13 | Valuation of International Oil Companies (Osmundsen et al. 2006):p2 | ConocoPhillips Form 10-K (FY2025):p3,low,,
EBITDA,ebitda,"[return on net assets], cash flow and EBITDA [earnings before interest, tax, depreciation and amortization] explained only 2% to 4% of MVA [market value added] perturbations.’ 3.7.3 Our methodology Broadly, we have followed McCormack and Vytheeswaran, though no","Enterprise Products Partners L.P. Form 10-K (FY2025) | Oil Company Crisis: Managing Structure, Profitability and Growth","Oil Company Crisis: Managing Structure, Profitability and Growth:p6 | Enterprise Products Partners L.P. Form 10-K (FY2025):p89",low,G24,
