term,normalized_term,short_definition,source_titles,source_locations,extraction_confidence,also_appears_as_corpus_term,notes
EUV,euv,"S. pressure to restrict the transfer of EUV tools to SK Hynix’s facility in Wuxi, China, is reportedly delaying its modernization—and presumably imposing a substantial cost on the company. South Korea isn’t the only country where chip companies and the government",Chip War,Chip War:~p110,low,,
fabless,fabless,"MC or other foundries in Asia. This let fabless companies focus on their strength—chip design—without requiring simultaneous expertise in fabricating semiconductors. So long as Sanders was CEO, AMD, the company he founded, stayed in the business of manufacturing logi",Chip War,Chip War:~p100,low,,
fabrication,fabrication,"in manufacturing—you went to work at a fabrication plant, not a hip start-up office. Today nearly 80 percent of tech workers are in services. When an industry embraces this shift, it finds growth. CHAPTER 7 IOT AND THE FALL AND RISE OF MANUFACTURING During the early da",Chip War | Platform Revolution | Subscribed,Subscribed:~p55 | Chip War:~p9 | Platform Revolution:~p157,low,G113,
Foundry,foundry,"50 physical platforms, 12 Pivotal Cloud Foundry, 162–63 platform-as-a-service (PaaS), 163 platform businesses overview, 11, 12–15, 49, 248n14 accepting their roles in modern society, 213 build vs. buy decision, 169–71 centralization of power, 235 core principles over",Chip War | Investment Valuation (University Edition) | Lean Analytics | Subscribed | The Business of Platforms,The Business of Platforms:~p103 | Subscribed:~p20 | Chip War:~p100 | Investment Valuation (University Edition):~p625 | Lean Analytics:~p2,low,,
free cash flow,free cash flow,"P operating margins in the low 30s, and free cash flow of $525 million. Wow! PTC has clearly swallowed the fish, the same way Adobe did. It’s reached the fabled inflection point where recurring revenues outgrow recurring costs, after which the unit economics favor hockey-st",Investment Valuation (University Edition) | Lean Analytics | Subscribed,Subscribed:~p53 | Investment Valuation (University Edition):~p1 | Lean Analytics:~p7,low,G92,
freemium,freemium,"its pricing model in 2015 to operate a freemium model. Upwork experimented and changed its pricing model in 2015, charging less to companies that used its services for the largest jobs, hoping to stimulate more recurring business.9 And as we shall see later, some pla",Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p51 | Subscribed:~p44 | Platform Revolution:~p18 | Lean Analytics:~p48,low,,
GPU,gpu,"PUs) for something other than graphics. GPUs were designed to work differently from standard Intel or AMD CPUs, which are infinitely flexible but run all their calculations one after the other. GPUs, by contrast, are designed to run multiple iterations of the sam",Chip War | Platform Revolution,Chip War:~p2 | Platform Revolution:~p41,low,,
gross margin,gross margin,"$3.4 billion in revenue at a 97 percent gross margin. Most management teams would be hard-pressed to find much fault with those kinds of numbers. But there were some troubling signs—the business was growing primarily as a result of price increases, and the overall user ba",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed,Subscribed:~p46 | Investment Valuation (University Edition):~p292 | Platform Revolution:~p130 | Lean Analytics:~p193,low,,
hardware,hardware,"em”—attracted thousands of software and hardware companies, produced millions of “complementary” software applications and peripheral devices like printers, cameras, and game controllers, and today still counts more than a billion users. Gates’s decision to give away",Chip War | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p5 | Subscribed:~p4 | Chip War:~p21 | Platform Revolution:~p95 | Lean Analytics:~p51,low,,
IaaS,iaas,"36 hybrid mode (e-commerce model), 73 I IaaS (Infrastructure as a Service) model, 89–91 IEEE (Institute of Electrical and Elec- tronics Engineers), 357 Imagine (Lehrer), 377 inactive users, defining, 96 Indiegogo site, 137 information, kinds of, 15–16 Infrastruct",Lean Analytics,Lean Analytics:~p62,low,,
Infrastructure as a Service,infrastructure as service,"s—although this is largely confined to Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) cloud computing companies today. Many SaaS providers offer a tiered model of their service, where the monthly fee varies depending on some dimension of the application. This mi",Lean Analytics,Lean Analytics:~p62,low,G113,
initial public offering,initial public offering,"o filed documents in preparation for an initial public offering, tentatively scheduled for early 2019 to raise additional cash.21 If conventional taxi companies and smaller platform competitors went bankrupt or closed down, and if Uber continued to shed its most unprofitable operati",Investment Valuation (University Edition) | Platform Revolution | The Business of Platforms,The Business of Platforms:~p76 | Investment Valuation (University Edition):~p17 | Platform Revolution:~p2,low,G113,
Intrinsic Value,intrinsic value,"Does Gold Have an Intrinsic Value? The intrinsic value of an asset is a function of its expected cash flows, growth, and risk. Since gold is not a cash- flow generating asset, you cannot estimate an intrinsic value for gold. If one of the central tenets of value investing i",Investment Valuation (University Edition),Investment Valuation (University Edition):~p2,low,G113,
IPO,ipo,"a tipping strategy when it evolved the iPod music player into the iPhone by “enveloping” features and functions from products in adjacent markets.3 The current book incorporates these ideas but examines platform strategy in a much broader context. In particular,",Chip War | Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p52 | Subscribed:~p104 | Chip War:~p248 | Investment Valuation (University Edition):~p34 | Platform Revolution:~p66 | Lean Analytics:~p39,low,G53;G102,
leverage,leverage,"of business.8 PHARMAPACKS ON AMAZON: LEVERAGE THE PLATFORM GIANT In some cases, belonging to someone else’s platform can be very profitable. A big successful platform such as Amazon can dramatically reduce search and transaction costs for customers. The challenge",Chip War | Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p8 | Subscribed:~p12 | Chip War:~p64 | Investment Valuation (University Edition):~p2 | Platform Revolution:~p1 | Lean Analytics:~p4,low,G25;G29;G67,
mergers and acquisitions,mergers acquisitions,"are asked to value target companies for mergers and acquisitions, the fact that banking compensation is tied to whether the deal is done and not to whether the deal is favorably priced, will cause target company valuations to be biased upwards. Again, if you do work for these institu",Investment Valuation (University Edition) | Platform Revolution,Investment Valuation (University Edition):~p16 | Platform Revolution:~p154,low,,
moat,moat,"of computing: a castle surrounded by a moat. The castle was Intel’s profitability; the moat, defending the castle, was x86. In the years since Intel first adopted the x86 architecture, computer scientists at Berkeley had devised a newer, simpler chip architecture",Chip War | Investment Valuation (University Edition) | Platform Revolution,Chip War:~p115 | Investment Valuation (University Edition):~p11 | Platform Revolution:~p145,low,,
network effect,network effect,"in the early 1900s used the concept of network effects to justify to government regulators the decision to price the telephone service below marginal cost, which helped maintain its monopoly position. The details are more complicated than we present here, but company econo",Lean Analytics | Platform Revolution | The Business of Platforms,The Business of Platforms:~p13 | Platform Revolution:~p15 | Lean Analytics:~p97,low,,
Network Effects,network effects,"in the early 1900s used the concept of network effects to justify to government regulators the decision to price the telephone service below marginal cost, which helped maintain its monopoly position. The details are more complicated than we present here, but company econom",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p1 | Subscribed:~p120 | Investment Valuation (University Edition):~p289 | Platform Revolution:~p1 | Lean Analytics:~p131,low,,
Operating Leverage,operating leverage,"One reason to believe that it should is operating leverage. If there is a setup cost associated with investing in infrastructure or economies of scale, smaller firms will have higher fixed costs than larger firms, leading in turn to higher betas for these firms. With growth fir",Investment Valuation (University Edition),Investment Valuation (University Edition):~p8,low,G25;G29;G186,
operating margin,operating margin,"revenue, 10 percent revenue growth, an operating margin in the low thirties, and 70 percent of bookings coming from subscriptions. In stark contrast to Adobe’s announcement, PTC’s analyst call resulted in a nice little pop for them—PTC went from $32 per share at the end of S",Investment Valuation (University Edition) | Lean Analytics | Subscribed,Subscribed:~p52 | Investment Valuation (University Edition):~p4 | Lean Analytics:~p181,low,G186,
outsourcing,outsourcing,"of these chips. Apple is well known for outsourcing assembly of its phones, tablets, and other devices to several hundred thousand assembly line workers in China, who are responsible for screwing and gluing tiny pieces together. China’s ecosystem of assembly facilities i",Chip War | Investment Valuation (University Edition) | Platform Revolution,Chip War:~p101 | Investment Valuation (University Edition):~p1 | Platform Revolution:~p20,low,,
P/E,p e,"EPS in 2016 is 7.45, for instance.) 2. P/E before R&D: A significant reason for Amylin’s losses is the substantial R&D expense incurred by the firm. If you add back the R&D to the reported net loss and compute the per share value, you get earnings per share befo",Investment Valuation (University Edition),Investment Valuation (University Edition):~p495,low,,
PaaS,paas,"Foundry, 162–63 platform-as-a-service (PaaS), 163 platform businesses overview, 11, 12–15, 49, 248n14 accepting their roles in modern society, 213 build vs. buy decision, 169–71 centralization of power, 235 core principles overview, 214–17, 215t decisions that dr",Lean Analytics | The Business of Platforms,The Business of Platforms:~p104 | Lean Analytics:~p62,low,,
Platform as a Service,platform as service,"Infrastructure as a Service (IaaS) and Platform as a Service (PaaS) cloud computing companies today. Many SaaS providers offer a tiered model of their service, where the monthly fee varies depending on some dimension of the application. This might be the number of projects in",Lean Analytics,Lean Analytics:~p62,low,G113,
Platform Business,platform business,"We Get to This Point? Platforms Defined Platform Business Models Two Basic Types What the Data Says Overview of the Following Chapters It is a well-known story. In July of 1980, several executives from IBM visited a young Bill Gates, cofounder and CEO of a five-year-old compan",Platform Revolution | The Business of Platforms,The Business of Platforms:~p1 | Platform Revolution:~p1,low,,
platform ecosystem,platform ecosystem,"nged by the difficulty of replicating a platform ecosystem. Successful platform companies have established virtual armies of complementors, such as the thousands of software developers who have already joined the Android, iPhone, Facebook, or WeChat developer networks, or the m",Platform Revolution | The Business of Platforms,The Business of Platforms:~p32 | Platform Revolution:~p40,low,,
price-to-earnings,price to earnings,"82, 448–450 explansion options and, 941 price-to-earnings ratio and, 567–568 tax benefits of, 275–277 Reserves, 258 Restricted stock, 507–509, 534, 777–778 Restructuring acquisitions and, 824 beta calculation following, 213–214 firms in process of, 20 post-valuation adjustmen",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution,Investment Valuation (University Edition):~p140 | Platform Revolution:~p25 | Lean Analytics:~p16,low,G113,
Price-to-Sales,price to sales,"50 million. While the net effect on the price-to-sales ratio is very small (decreases from 0.50 to 0.47), the value of equity increases mildly from $5 billion to $5.05 billion. Value of a Brand Name Enterprise valueHigh margin = EV Sales × Sales = 2.32 × 2.5 = 5.80 Enterpri",Investment Valuation (University Edition),Investment Valuation (University Edition):~p6,low,G113,
private equity,private equity,"7. As a country, we are way overstored —private equity companies loaded up the big box retailers with debt and forced them to open hundreds of new outlets in questionable locations. Roughly a quarter of the more than 1,000 enclosed malls in the United States are expected to",Chip War | Investment Valuation (University Edition) | Subscribed,Subscribed:~p12 | Chip War:~p70 | Investment Valuation (University Edition):~p2,low,,
recurring revenue,recurring revenue,"a basic playbook on making the shift to recurring revenue. While subscriptions have been getting a huge amount of press coverage lately, I’m going to give you the most important material, the stone tablets. In Part 1 of this book we’ll explore how subscriptions are transformin",Lean Analytics | Platform Revolution | Subscribed,Subscribed:~p1 | Platform Revolution:~p77 | Lean Analytics:~p64,low,G25,
Relative Valuation,relative valuation,"ICING PRIVATE BUSINESSES The essence of relative valuation is that you value a firm based on how much the market is paying for similar firms. This premise is clearly more challenging for private businesses. Notwithstanding these problems, analysts have tried to extend the relat",Investment Valuation (University Edition),Investment Valuation (University Edition):~p1,low,,
research and development,research development,"e industry spends $18 billion a year on research and development, focusing on fuel-efficient, electric, and autonomous vehicles. GM CEO Mary Barra says that her company is “quarters, not years” away from deploying fully autonomous vehicles at scale. These car companies have spent dec",Chip War | Investment Valuation (University Edition) | Platform Revolution | Subscribed,Subscribed:~p33 | Chip War:~p148 | Investment Valuation (University Edition):~p46 | Platform Revolution:~p12,low,G5;G25,
revenue growth,revenue growth,"inued. Companies that realized material revenue growth selling their products on Amazon’s platform ran a significant risk that Amazon would observe that success, enter the category, and take it over.6 And for the brands that would use Amazon to sell their products directly,",Investment Valuation (University Edition) | Lean Analytics | Subscribed | The Business of Platforms,The Business of Platforms:~p91 | Subscribed:~p46 | Investment Valuation (University Edition):~p1 | Lean Analytics:~p69,low,G25,
SaaS,saas,"Corporate Services, Telecommunications, SaaS, and Media. Each subindex is launched starting from the value of the main SEI when twenty-five constituents are available. Note that not every SEI constituent falls into one of these categories. SaaS was the first subin",Lean Analytics | Subscribed,Subscribed:~p4 | Lean Analytics:~p6,low,,
Semiconductor,semiconductor,U.S.A. Systems software Qualcomm U.S.A. Semiconductors Red Hat U.S.A. Systems software Salesforce (Hybrid) U.S.A. Application software VMware U.S.A. Systems software Workday U.S.A. Application software 25 TRANSACTION PLATFORMS COUNTRY INDUSTRY Alibaba (Hybrid) China Inte,Chip War | Investment Valuation (University Edition) | Platform Revolution | The Business of Platforms,The Business of Platforms:~p149 | Chip War:~p1 | Investment Valuation (University Edition):~p465 | Platform Revolution:~p157,low,G113,
semiconductor equipment,semiconductor equipment,"rt of a program to share American-built semiconductor equipment with U.S. chipmakers and encourage them to buy more domestically produced tools. Sematech bet hugely on GCA, giving the company contracts to produce deep-ultraviolet lithography equipment that was at the cutting edge of",Chip War,Chip War:~p68,low,G5;G113,
software as a service,software as service,"6, 184, 187 Smith, Will, 46 SNCF, 62–63 software as a service (SaaS) model, 5–6, 80–93 Adobe’s move to digital subscription model, 80–82, 86–89, 96 continuous innovation and, 133–36 fish model and, 85–86 PTC’s move to digital subscription model, 90–93 shift from capex to opex, 90",Lean Analytics | Subscribed,Subscribed:~p4 | Lean Analytics:~p6,low,G113,
subscription,subscription,". GE planned to monetize Predix using a subscription-based model, with either metered payments or predefined bundles for enterprise customers. In some cases, the price would be linked to outcomes, i.e., GE would get paid more if it did more to improve performance or reduc",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p44 | Subscribed:~p1 | Investment Valuation (University Edition):~p224 | Platform Revolution:~p86 | Lean Analytics:~p30,low,,
switching costs,switching costs,"entering their markets. In general, if switching costs are low and entry is easy, then markets are unlikely to be highly profitable. Low entry barriers encourage more competition, which generally leads to lower prices and lower profits for everyone. In the platform world, m",Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | The Business of Platforms,The Business of Platforms:~p31 | Investment Valuation (University Edition):~p858 | Platform Revolution:~p157 | Lean Analytics:~p194,low,,
systems integrat,systems integrat,"sales force and promoted by a parasitic systems integration industry. The Y2K scare was in full force. Sales reps outnumbered developers ten to one. Half the installations would never see the light of day, and even those that were deemed a “success” were hated by the end user",Subscribed,Subscribed:~p3,low,,
Terminal Value,terminal value,"All in all, using multiples to estimate terminal value, when those multiples are estimated from comparable firms, results in a dangerous mix of pricing and discounted cash flow valuation. While there are advantages to pricing, and we consider these in a later chapter, a dis",Investment Valuation (University Edition),Investment Valuation (University Edition):~p1,low,G93,
TSMC,tsmc,"Nvidia’s chips, largely manufactured by TSMC, are found in most advanced data centers. It’s a good thing the company didn’t need to build its own fab. At the startup stage, it would probably have been impossible to raise the necessary sums. Giving a couple million",Chip War,Chip War:~p1,low,,
Two-Sided Market,two sided market,"d Marshall Van Alstyne, “Strategies for Two-Sided Markets,” Harvard Business Review, October 2006, 92–101. 4. David B. Yoffie and Michael A. Cusumano, Strategy Rules: Five Timeless Lessons from Bill Gates, Andy Grove, and Steve Jobs (New York: HarperBusiness, 2015). CHAPTER 1",Lean Analytics | Platform Revolution | The Business of Platforms,The Business of Platforms:~p150 | Platform Revolution:~p3 | Lean Analytics:~p6,low,,
usage-based pricing,usage based pricing,"ased company. The ideas we came up with—usage-based pricing, multitiered editions, customer success organizations—are now standard operating procedure for software-as-a-service companies, but when we were building Salesforce, none of them existed. We had to invent them. But star",Subscribed,Subscribed:~p4,low,G113,
valuation multiple,valuation multiple,"nvestors in the form of dividends—PTC’s valuation multiples were stuck in the 1x–3x price/sales range. At the same time, PTC found through its own survey analysis that more than 90 percent of its customers shared a desire for subscription-based pricing—perhaps this was the “Ado",Subscribed,Subscribed:~p52,low,G27,
venture capital,venture capital,"9 At the same time, start-ups backed by venture capital were racing to capture the value of the data and analytics generated by the Internet of things; the financial and technical resources being poured into the space “keeps me up at night,” said one GE executive in late 201",Chip War | Investment Valuation (University Edition) | Lean Analytics | Platform Revolution | Subscribed | The Business of Platforms,The Business of Platforms:~p52 | Subscribed:~p47 | Chip War:~p7 | Investment Valuation (University Edition):~p2 | Platform Revolution:~p3 | Lean Analytics:~p3,low,G139,
WACC,wacc,Depreciation − Capital Maintenance FCFF WACC4 Cumulated WACC5 PV 6 $45.53 $5.20 $2.08 $48.65 9.20% 1.3937 $34.91 7 $47.76 $5.20 $2.08 $50.88 9.20% 1.5219 $33.43 8 $50.08 $5.20 $2.08 $53.21 9.20% 1.6619 $32.01 9 $52.50 $5.20 $2.08 $55.63 9.20% 1.8148 $30.65 10 $55.,Investment Valuation (University Edition),Investment Valuation (University Edition):~p27,low,G91,
wafer,wafer,"January 6, 2016. This number calculates wafers-per-month as 200mm wafers. At the time the industry’s cutting edge was shifting to 300mm wafers, which could accommodate roughly twice as many chips per wafer. Wafer-per-month calculations on a 300mm wafer basis are th",Chip War,Chip War:~p2,low,,
